,Entrance,Clearing
252,2018-07-30 09:28:00,2018-07-30 09:31:00
253,2018-07-30 09:48:00,2018-07-30 09:51:00
254,2018-07-31 09:58:00,2018-07-31 10:01:00
255,2018-08-01 10:48:00,2018-08-01 10:51:00
256,2018-08-01 13:19:00,2018-08-01 13:22:00
257,2018-08-02 09:13:00,2018-08-02 09:16:00
258,2018-08-02 10:27:00,2018-08-02 10:30:00
259,2018-08-02 10:46:00,2018-08-02 10:49:00
260,2018-08-03 10:12:00,2018-08-03 10:15:00
261,2018-08-06 13:50:00,2018-08-06 13:53:00
262,2018-08-07 09:19:00,2018-08-07 09:22:00
263,2018-08-07 10:49:00,2018-08-07 10:52:00
264,2018-08-08 14:01:00,2018-08-08 14:04:00
265,2018-08-08 14:20:00,2018-08-08 14:23:00
266,2018-08-08 15:06:00,2018-08-08 15:09:00
267,2018-08-09 09:17:00,2018-08-09 09:20:00
268,2018-08-10 09:44:00,2018-08-10 09:47:00
269,2018-08-10 10:32:00,2018-08-10 10:35:00
270,2018-08-10 14:33:00,2018-08-10 14:36:00
271,2018-08-13 09:36:00,2018-08-13 09:39:00
272,2018-08-13 10:11:00,2018-08-13 10:14:00
273,2018-08-13 13:48:00,2018-08-13 13:51:00
274,2018-08-14 09:17:00,2018-08-14 09:20:00
275,2018-08-14 10:34:00,2018-08-14 10:37:00
276,2018-08-14 10:52:00,2018-08-14 10:55:00
277,2018-08-16 09:10:00,2018-08-16 09:13:00
278,2018-08-16 09:32:00,2018-08-16 09:35:00
279,2018-08-16 11:55:00,2018-08-16 11:56:00
280,2018-08-20 09:41:00,2018-08-20 09:44:00
281,2018-08-21 15:09:00,2018-08-21 15:11:00
282,2018-08-21 15:23:00,2018-08-21 15:26:00
283,2018-08-22 10:58:00,2018-08-22 11:01:00
284,2018-08-23 11:01:00,2018-08-23 11:04:00
285,2018-08-27 09:35:00,2018-08-27 09:38:00
286,2018-08-27 11:13:00,2018-08-27 11:16:00
287,2018-08-28 10:17:00,2018-08-28 10:20:00
288,2018-08-28 10:35:00,2018-08-28 10:38:00
289,2018-08-28 15:14:00,2018-08-28 15:15:00
290,2018-08-29 11:18:00,2018-08-29 11:21:00
291,2018-09-03 09:29:00,2018-09-03 09:32:00
292,2018-09-03 13:33:00,2018-09-03 13:36:00
293,2018-09-05 14:51:00,2018-09-05 14:53:00
294,2018-09-06 09:24:00,2018-09-06 09:25:00
295,2018-09-06 12:33:00,2018-09-06 12:36:00
296,2018-09-06 13:16:00,2018-09-06 13:19:00
297,2018-09-07 12:37:00,2018-09-07 12:40:00
298,2018-09-13 12:25:00,2018-09-13 12:28:00
299,2018-09-14 09:20:00,2018-09-14 09:23:00
300,2018-09-17 09:33:00,2018-09-17 09:36:00
301,2018-09-20 13:46:00,2018-09-20 13:49:00
302,2018-09-20 14:53:00,2018-09-20 14:56:00
303,2018-09-21 10:04:00,2018-09-21 10:07:00
304,2018-09-21 11:20:00,2018-09-21 11:23:00
305,2018-10-01 09:38:00,2018-10-01 09:41:00
306,2018-10-02 13:29:00,2018-10-02 13:30:00
307,2018-10-02 14:25:00,2018-10-02 14:28:00
308,2018-10-02 15:08:00,2018-10-02 15:11:00
309,2018-10-04 10:08:00,2018-10-04 10:11:00
310,2018-10-04 11:19:00,2018-10-04 11:22:00
311,2018-10-04 13:12:00,2018-10-04 13:15:00
312,2018-10-05 09:52:00,2018-10-05 09:55:00
313,2018-10-05 10:29:00,2018-10-05 10:30:00
314,2018-10-05 11:20:00,2018-10-05 11:23:00
315,2018-10-08 11:04:00,2018-10-08 11:07:00
316,2018-10-08 11:36:00,2018-10-08 11:39:00
317,2018-10-08 13:10:00,2018-10-08 13:13:00
318,2018-10-10 11:30:00,2018-10-10 11:33:00
319,2018-10-10 11:55:00,2018-10-10 11:58:00
320,2018-10-10 12:36:00,2018-10-10 12:39:00
321,2018-10-11 10:17:00,2018-10-11 10:20:00
322,2018-10-11 11:45:00,2018-10-11 11:48:00
323,2018-10-11 12:21:00,2018-10-11 12:24:00
324,2018-10-12 11:14:00,2018-10-12 11:17:00
325,2018-10-12 12:18:00,2018-10-12 12:21:00
326,2018-10-15 09:14:00,2018-10-15 09:17:00
327,2018-10-15 09:37:00,2018-10-15 09:40:00
328,2018-10-15 10:44:00,2018-10-15 10:47:00
329,2018-10-16 10:48:00,2018-10-16 10:51:00
330,2018-10-16 12:47:00,2018-10-16 12:50:00
331,2018-10-16 13:28:00,2018-10-16 13:31:00
332,2018-10-17 09:53:00,2018-10-17 09:56:00
333,2018-10-17 10:22:00,2018-10-17 10:25:00
334,2018-10-17 10:52:00,2018-10-17 10:55:00
335,2018-10-18 09:26:00,2018-10-18 09:29:00
336,2018-10-18 10:53:00,2018-10-18 10:56:00
337,2018-10-18 14:45:00,2018-10-18 14:48:00
338,2018-10-19 10:36:00,2018-10-19 10:39:00
339,2018-10-19 11:14:00,2018-10-19 11:17:00
340,2018-10-22 09:37:00,2018-10-22 09:40:00
341,2018-10-22 14:16:00,2018-10-22 14:17:00
342,2018-10-23 09:27:00,2018-10-23 09:28:00
343,2018-10-23 09:38:00,2018-10-23 09:39:00
344,2018-10-23 11:06:00,2018-10-23 11:09:00
345,2018-10-24 09:55:00,2018-10-24 09:56:00
346,2018-10-24 10:12:00,2018-10-24 10:15:00
347,2018-10-24 11:12:00,2018-10-24 11:15:00
348,2018-10-25 10:52:00,2018-10-25 10:55:00
349,2018-10-25 11:46:00,2018-10-25 11:49:00
350,2018-10-25 12:32:00,2018-10-25 12:35:00
351,2018-10-26 09:17:00,2018-10-26 09:20:00
352,2018-10-26 09:34:00,2018-10-26 09:37:00
353,2018-10-26 11:17:00,2018-10-26 11:20:00
354,2018-10-29 09:59:00,2018-10-29 10:02:00
355,2018-10-29 10:47:00,2018-10-29 10:48:00
356,2018-10-29 11:07:00,2018-10-29 11:08:00
357,2018-10-30 10:21:00,2018-10-30 10:24:00
358,2018-10-30 10:52:00,2018-10-30 10:55:00
